Party,Seats,Bloc,Vacant_adj
BJP,240,NDA,0
TDP,16,NDA,0
JD(U),12,NDA,0
NCPI,20,NDA,0
SHS,13,NDA,0
LJP(RV),5,NDA,0
JD(S),2,NDA,0
JSP,2,NDA,0
RLD,2,NDA,0
AD(S),1,NDA,0
AGP,1,NDA,0
AJSU,1,NDA,0
HAM(S),1,NDA,0
NCP,1,NDA,0
SKM,1,NDA,0
INC,98,INDIA,0
SP,37,INDIA,0
AITC,8,INDIA,0
DMK,22,INDIA,0
SS(UBT),3,INDIA,0
NCP-SP,8,INDIA,0
CPI(M),4,INDIA,0
RJD,4,INDIA,0
IUML,3,INDIA,0
JMM,3,INDIA,0
CPI,2,INDIA,0
CPI(ML)L,2,INDIA,0
JKNC,2,INDIA,0
VCK,2,INDIA,0
BAP,1,INDIA,0
KEC,1,INDIA,0
MDMK,1,INDIA,0
RLP,1,INDIA,0
RSP,1,INDIA,0
IND(INDIA-aligned),3,INDIA,0
YSRCP,4,UNALIGNED,0
AAP,3,UNALIGNED,0
AD(WPD),2,UNALIGNED,0
AIMIM,1,UNALIGNED,0
ASP(KR),1,UNALIGNED,0
SAD,1,UNALIGNED,0
UPPL,1,UNALIGNED,0
ZPM,1,UNALIGNED,0
JKAIP,1,UNALIGNED,0
IND(other),1,UNALIGNED,0
