total_seats,quota,nda_seat_share,nda_vote_share,india_seat_share,india_vote_share,other_seat_share,other_vote_share,seat_bonus_leader,bonus_std_across_elections,gallagher_index,pct_nda_majority
534,268,0.5414082397003818,0.5295058812880512,0.44300624219724827,0.4224447955171148,0.015585518102371729,0.04804932319483416,0.01190235841233056,0.012605402790082643,2.8445894839474977,0.9686666666666667
544,273,0.5403725490196082,0.5289487881590629,0.4439693627450978,0.42304115650435437,0.01565808823529411,0.04801005533658215,0.011423760860545307,0.01268145875313914,2.8417792876795014,0.9706666666666667
554,278,0.5407605294825493,0.5289611061097125,0.4435716004813509,0.4228944855660391,0.015667870036101265,0.04814440832424905,0.011799423372836793,0.012339242801870735,2.8473628257863335,0.972
564,283,0.5409728132387719,0.5290829081431327,0.4435200945626478,0.4228327817924668,0.01550709219858138,0.048084310064401024,0.011889905095639142,0.011759418966872739,2.855354511012317,0.9713333333333334
574,288,0.5415307781649249,0.5297272968435643,0.44296051103368267,0.4222331200413633,0.015508710801393726,0.04803958311507222,0.011803481321360554,0.011761169687972672,2.852371436314916,0.9746666666666667
584,293,0.5395547945205488,0.5284249558956476,0.44474771689497683,0.42355011261321746,0.015697488584474586,0.04802493149113362,0.011129838624901134,0.011740842167149738,2.8445344961748176,0.9693333333333334
594,298,0.5401818181818134,0.5288063702193928,0.44423007856341495,0.4232158881131548,0.015588103254770213,0.047977741667452244,0.011375447962420626,0.011640126709146765,2.846125166897823,0.9706666666666667
604,303,0.5410916114790312,0.5292434801081883,0.44325165562913715,0.42268771987351267,0.01565673289183193,0.04806880001829884,0.01184813137084284,0.011195669221753466,2.8405948022841963,0.9773333333333334
614,308,0.5411498371335608,0.5293912935543568,0.44345711183495695,0.42266830104341324,0.015393051031487415,0.047940405402230026,0.011758543579204028,0.011299935974139483,2.8546175556152376,0.9793333333333333
624,313,0.5408739316239322,0.5291920256681234,0.4433215811965808,0.4226892568575252,0.01580448717948726,0.04811871747435129,0.011681905955808758,0.011131071437738768,2.834051176268573,0.976
634,318,0.539909568874868,0.5287320930383205,0.4441503680336493,0.4232369076197239,0.015940063091482753,0.04803099934195533,0.01117747583654749,0.011065133414138922,2.8214685732729015,0.974
644,323,0.5404161490683235,0.5290475027991145,0.44418633540372626,0.42299068235096954,0.015397515527950292,0.047961814849916254,0.01136864626920897,0.011208855201395267,2.862634640202821,0.976
654,328,0.5405168195718661,0.5288450376085858,0.44358613659531104,0.4229506445512042,0.015897043832823653,0.048204317840210405,0.011671781963280337,0.011185730303053346,2.83356134562949,0.9786666666666667
664,333,0.5412429718875499,0.5294668727394962,0.4428775100401595,0.42229238260167107,0.01587951807228911,0.04824074465883043,0.011776099148053665,0.011003912630032336,2.8369640189726315,0.9826666666666667
674,338,0.5398773491592412,0.528508520717563,0.44421859545005776,0.4231660446659886,0.015904055390702294,0.04832543461644808,0.011368828441678192,0.01075544044492648,2.849215668874279,0.9826666666666667
684,343,0.5411968810916159,0.5293260868015066,0.4430058479532182,0.42254958017880884,0.015797270955165976,0.04812433301968537,0.011870794290109288,0.010837022790610716,2.832325537486571,0.9826666666666667
694,348,0.5402910662824201,0.5289778341452365,0.44411527377521687,0.42299892925257004,0.015593659942363109,0.048023236602193695,0.011313232137183604,0.010583240050364755,2.8509355216531547,0.9866666666666667
704,353,0.5406382575757566,0.5291280663248046,0.44391666666666657,0.42295138918633446,0.015445075757575774,0.04792054448886148,0.011510191250951984,0.010348499648866047,2.8519146478966793,0.986
714,358,0.5408860877684402,0.5288162872588014,0.44330812324929875,0.42301527043991055,0.015805788982259796,0.04816844230128715,0.012069800509638795,0.010527295177414424,2.8326853772820617,0.984
724,363,0.5410930018416199,0.5292836396961705,0.4432237569060764,0.422726162060991,0.01568324125230199,0.047990198242839,0.011809362145449365,0.010829777683943428,2.8313882625878533,0.9846666666666667
734,368,0.5406993642143509,0.529239048203846,0.44355858310626667,0.4226052061576071,0.01574205267938229,0.048155745638547624,0.0114603160105049,0.0104232247256382,2.84695481160511,0.984
744,373,0.5405672043010672,0.5291389316891009,0.4436415770609335,0.42261572110567863,0.01579121863799282,0.048245347205220585,0.011428272611966328,0.010315100454596226,2.8512826013942347,0.9866666666666667
754,378,0.5404067197170717,0.5288760008940855,0.4437515473032631,0.42298822957294274,0.01584173297966395,0.04813576953297207,0.011530718822986175,0.01031552148780685,2.8345878330468124,0.9826666666666667
764,383,0.5407670157068062,0.5292321812352289,0.44341972076788794,0.4226890199528405,0.01581326352530534,0.048078798811930556,0.011534834471577327,0.01030544849560452,2.831853747902737,0.994
774,388,0.5404203273040411,0.5290699215991602,0.444052540913014,0.42297718338461854,0.015527131782945706,0.04795289501622232,0.011350405704880884,0.009927258862795905,2.84994081155697,0.9846666666666667
784,393,0.5408903061224482,0.5293151318644426,0.4434982993197281,0.4225813486840221,0.015611394557823113,0.04810351945153419,0.011575174258005583,0.010194571378966313,2.852403953780282,0.9793333333333333
794,398,0.5407825356843061,0.5292984819792214,0.44360789252728305,0.42268717575328235,0.015609571788412817,0.048014342267496755,0.011484053705084762,0.010271691517007044,2.8457240112503315,0.9853333333333333
804,403,0.5404502487562186,0.5290953930270518,0.44373466003316697,0.4227625126204533,0.015815091210613523,0.04814209435249576,0.011354855729166835,0.009711031198022285,2.8405975144906135,0.9866666666666667
814,408,0.5401482391482398,0.5288344814763768,0.44423669123669096,0.4230353191273271,0.015615069615069636,0.0481301993962947,0.011313757671863045,0.009918098833341995,2.8589621864124575,0.9853333333333333
824,413,0.5406909385113259,0.5293204572894239,0.44367152103559854,0.4226442334180785,0.015637540453074462,0.04803530929249767,0.011370481221901985,0.009738711317983607,2.8469721578724987,0.9886666666666667
834,418,0.5405099920063948,0.5286590945690145,0.4438065547561946,0.4232316028050638,0.01568345323741014,0.048109302625922716,0.011850897437380326,0.009698405493082462,2.841837544995449,0.99
844,423,0.54052448657188,0.5289865333303877,0.44385150078989044,0.4230114086358768,0.015624012638230622,0.04800205803373554,0.011537953241492316,0.009881947868341023,2.842333222569112,0.992
850,426,0.540283137254894,0.5289051820745795,0.444016470588236,0.4229479242937078,0.0157003921568628,0.04814689363171284,0.01137795518031448,0.00988120000559183,2.8514180375800464,0.9873333333333333
854,428,0.5407369242779079,0.5292099030311593,0.4435979703356749,0.42273887432165863,0.015665105386416776,0.048051222647182264,0.011527021246748537,0.009807358700466041,2.8432680990129944,0.9946666666666667
864,433,0.5405694444444433,0.529379258019504,0.4438310185185182,0.4225436960713849,0.01559953703703708,0.04807704590911127,0.011190186424939297,0.010177159849459638,2.8575854770494424,0.9926666666666667
874,438,0.5407589626239512,0.5290856642511604,0.44352936689549954,0.42281790552665627,0.015711670480549132,0.04809643022218102,0.011673298372790741,0.009774017177458133,2.840777350001675,0.9913333333333333
884,443,0.5405739064856714,0.5292949027209322,0.44360935143288044,0.4225253936881862,0.015816742081448214,0.048179703590882396,0.011279003764739226,0.009870731876764963,2.845268421226873,0.9926666666666667
894,448,0.5414623415361676,0.5296168610217803,0.44270768083519685,0.42230192143407075,0.015829977628635354,0.04808121754414854,0.011845480514387274,0.009710320301214095,2.8256440871431114,0.9913333333333333
904,453,0.5403871681415904,0.5291528388082846,0.4438163716814176,0.4226230035089149,0.015796460176991156,0.04822415768280059,0.011234329333305815,0.009229165900883747,2.852126027713979,0.992
914,458,0.5406389496717718,0.5292408508846516,0.44369438366156183,0.42277339400478303,0.01566666666666666,0.04798575511056557,0.011398098787120281,0.009237989750300128,2.839126575220413,0.9946666666666667
924,463,0.5406226551226556,0.5290460560107436,0.44377056277056304,0.4228709119527143,0.01560678210678213,0.04808303203654244,0.011576599111912,0.009433090001940583,2.8508944743765796,0.9966666666666667
934,468,0.5405774446823701,0.5289781224132879,0.44384582441113524,0.42296719351748235,0.015576730906495402,0.04805468406922881,0.011599322269082224,0.009128186431377472,2.8506832047213946,0.9953333333333333
944,473,0.5408827683615821,0.5292731685740355,0.44337358757062134,0.42249048794834454,0.01574364406779663,0.04823634347762004,0.01160959978754661,0.009468018253932384,2.851896011426502,0.986
954,478,0.5407547169811329,0.52907087112973,0.44355974842767304,0.4228802548150903,0.01568553459119464,0.04804887405518032,0.011683845851402919,0.009124123923912368,2.838608330866878,0.994
964,483,0.540903872752419,0.5291639992086925,0.4434730290456429,0.42273831352777996,0.015623098201936634,0.04809768726352657,0.01173987354372652,0.009088592020007702,2.848115160196768,0.9966666666666667
974,488,0.5408035592060222,0.5289404457123941,0.4435927446954147,0.42296009059223144,0.015603696098562684,0.04809946369537425,0.011863113493628119,0.008611558065883736,2.848170280030932,0.9973333333333333
984,493,0.540657859078582,0.5289911457769456,0.4435880758807599,0.42296955710975853,0.015754065040650352,0.04803929711329503,0.011666713301636378,0.008945607207118352,2.8315823540533294,0.994
994,498,0.5412219986586189,0.5294234657252451,0.44310798122065687,0.42247657492983404,0.01567002012072423,0.048099959344919875,0.01179853293337374,0.009106229036769633,2.843027666944108,0.9926666666666667
1000,501,0.5411893333333333,0.5292811384082915,0.44302066666666673,0.4225309693014151,0.015789999999999922,0.04818789229029348,0.011908194925041804,0.008648063126026256,2.8383588826519577,0.9946666666666667
