State,LS_Seats,Reserved_LS_Seats,Women_Electability_From_AE,Women_Elected_Est_LS,Gender_Gap_AE,AE_Women_Candidates,Displaced_Incumbents
Uttar_Pradesh,80,27,18.181818181818183,5,10.0851635556643,22,18
Maharashtra,48,16,0.0,0,-10.950815857595764,0,11
West_Bengal,42,14,14.285714285714285,2,-4.242098344984169,7,9
Bihar,40,14,0.0,0,-8.347663824960668,5,9
Tamil_Nadu,39,13,3.0303030303030303,0,-6.3523325781022475,33,9
Madhya_Pradesh,29,10,9.090909090909092,1,-2.336304783296528,22,7
Karnataka,28,10,6.666666666666667,1,-4.128979637754528,15,7
Gujarat,26,9,9.090909090909092,1,-4.472767310286316,11,6
Andhra_Pradesh,25,9,6.6350710900473935,1,-7.199392144698937,211,6
Rajasthan,25,9,50.0,4,38.47638057218896,2,6
Odisha,21,7,12.173913043478262,1,-3.5818121473614335,115,4
Kerala,20,7,50.0,4,33.45701659301259,2,4
Telangana,17,6,0.0,0,-6.304909560723513,5,4
Jharkhand,14,5,0.0,0,-6.0546875,4,3
Assam,14,5,100.0,5,86.72124437167416,1,3
Punjab,13,5,50.0,2,35.81956797966963,2,3
Chhattisgarh,11,4,14.285714285714285,1,5.935545935545934,7,2
Haryana,10,4,0.0,0,-7.874434690077148,3,2
Uttarakhand,5,2,50.0,1,40.95,2,1
Himachal_Pradesh,4,2,33.33333333333333,1,15.571872726069984,3,1
Jammu_&_Kashmir,3,1,0.0,0,-14.051282051282053,0,0
Goa,2,1,0.0,0,-15.910176779741995,0,0
Tripura,2,1,50.0,0,28.777943368107305,2,0
Manipur,2,1,0.0,0,-18.474861679095504,0,0
Meghalaya,2,1,33.33333333333333,0,14.616019818331957,3,0
Arunachal_Pradesh,2,1,100.0,1,68.02973977695169,1,0
Nagaland,1,1,0.0,0,-30.924431401320614,0,0
Mizoram,1,1,0.0,0,-21.425222691045477,0,0
Sikkim,1,1,0.0,0,-19.742198100407055,1,0
Puducherry,1,1,0.0,0,-15.744837758112096,2,0
