State,LS_Seats,Women_Candidates,Women_Candidacy_Pct,Women_Winners,Women_Win_Rate_Pct
Andaman_&_Nicobar_Islands,3,0,0.0,0,0
Andhra_Pradesh,1351,0,0.0,0,0
Maharashtra,1440,0,0.0,0,0
Manipur,300,0,0.0,0,0
Meghalaya,300,0,0.0,0,0
Mizoram,200,0,0.0,0,0
Nagaland,300,0,0.0,0,0
Odisha,735,0,0.0,0,0
Puducherry,150,0,0.0,0,0
Punjab,585,0,0.0,0,0
Rajasthan,1000,0,0.0,0,0
Sikkim,158,0,0.0,0,0
Tamil_Nadu,1164,0,0.0,0,0
Telangana,119,0,0.0,0,0
Tripura,300,0,0.0,0,0
Uttar_Pradesh,2037,0,0.0,0,0
Uttarakhand,287,0,0.0,0,0
Madhya_Pradesh,1240,0,0.0,0,0
Lakshadweep,3,0,0.0,0,0
Kerala,700,0,0.0,0,0
Daman_&_Diu,5,0,0.0,0,0
Arunachal_Pradesh,300,0,0.0,0,0
Assam,630,0,0.0,0,0
Bihar,1296,0,0.0,0,0
Chandigarh,6,0,0.0,0,0
Chhattisgarh,360,0,0.0,0,0
Dadra_&_Nagar_Haveli,3,0,0.0,0,0
Delhi,376,0,0.0,0,0
Karnataka,1120,0,0.0,0,0
Goa,200,0,0.0,0,0
Gujarat,910,0,0.0,0,0
Haryana,450,0,0.0,0,0
Himachal_Pradesh,340,0,0.0,0,0
Jammu_&_Kashmir,444,0,0.0,0,0
Jharkhand,324,0,0.0,0,0
West_Bengal,1470,0,0.0,0,0
