State,Gender_Penalty_Coef,Women_Win_Rate_Pct,Men_Win_Rate_Pct,Empirical_Gap_Pct,Total_Candidates,Women_Candidates
Nagaland,0.0,0.0,30.924431401320618,-30.924431401320618,2726,0
Mysore,0.0,0.0,28.817299205648723,-28.817299205648723,2266,0
Madras,0.0,0.0,27.93190416141236,-27.93190416141236,1586,0
Mizoram,0.0,0.0,21.425222691045477,-21.425222691045477,2133,0
Sikkim,-0.1654846264429255,0.0,19.742198100407055,-19.742198100407055,1475,1
Manipur,0.0,0.0,18.474861679095504,-18.474861679095504,4157,0
Goa_Daman_&_Diu,0.0,0.0,16.22198505869797,-16.22198505869797,937,0
Goa,0.0,0.0,15.910176779741997,-15.910176779741997,2093,0
Puducherry,-0.043238367446495674,0.0,15.744837758112096,-15.744837758112096,2714,2
Jammu_&_Kashmir,0.0,0.0,14.051282051282051,-14.051282051282051,5850,0
Maharashtra,0.0,0.0,10.950815857595765,-10.950815857595765,34381,0
Delhi,0.0,0.0,9.27906653701903,-9.27906653701903,7199,0
Bihar,-0.010189385657051174,0.0,8.347663824960668,-8.347663824960668,54667,5
Haryana,-0.015839371263113397,0.0,7.874434690077148,-7.874434690077148,15039,3
Andhra_Pradesh,-0.6289004662196598,6.6350710900473935,13.83446323474633,-7.199392144698937,27057,211
Tamil_Nadu,-0.02486913757914411,3.0303030303030303,9.382635608405279,-6.3523325781022475,30728,33
Telangana,-0.079798625767257,0.0,6.304909560723513,-6.304909560723513,3875,5
Jharkhand,-0.041061233229519906,0.0,6.0546875,-6.0546875,5636,4
Gujarat,-0.0007211665981136122,9.090909090909092,13.563676401195407,-4.472767310286316,19084,11
West_Bengal,-0.0012521265957075303,14.285714285714285,18.527812630698453,-4.242098344984169,23917,7
Karnataka,-0.01821505229805158,6.666666666666667,10.795646304421194,-4.128979637754528,23719,15
Odisha,-0.008366431522130737,12.173913043478262,15.755725190839694,-3.5818121473614335,13215,115
Madhya_Pradesh,-0.0024555446298960056,9.090909090909092,11.427213874205618,-2.336304783296528,33696,22
Chhattisgarh,0.14727945575003001,14.285714285714285,8.350168350168351,5.935545935545934,4462,7
Uttar_Pradesh,0.01548842362500587,18.181818181818183,8.096654626153882,10.0851635556643,84736,22
Meghalaya,0.47842526158389975,33.33333333333333,18.717313515001376,14.616019818331955,3636,3
Himachal_Pradesh,0.5271363488052357,33.33333333333333,17.761460607263345,15.571872726069985,5042,3
Tripura,0.5395104689337644,50.0,21.2220566318927,28.777943368107305,3357,2
Kerala,0.09233998374360981,50.0,16.54298340698741,33.45701659301259,11995,2
Punjab,0.02105942221258221,50.0,14.180432020330368,35.81956797966963,11807,2
Rajasthan,0.016594104192589457,50.0,11.523619427811045,38.47638057218896,22547,2
Uttarakhand,0.5511025043240023,50.0,9.049999999999999,40.949999999999996,4002,2
Arunachal_Pradesh,0.7831132283419249,100.0,31.970260223048324,68.02973977695169,1615,1
Assam,0.026432074434109047,100.0,13.278755628325827,86.72124437167416,12216,1
