State,Total_Candidates,Women_Candidates,Women_Candidacy_Pct,Women_Winners,Women_Win_Pct,Women_Incumbents,Women_Incumbent_Pct,Overall_Win_Pct,Win_Rate_Gap
Arunachal_Pradesh,1615,1,0.06191950464396285,1,100.0,0,0.0,32.01238390092879,67.9876160990712
Assam,12216,1,0.008185985592665358,1,100.0,0,0.0,13.285854616895874,86.71414538310412
Uttarakhand,4002,2,0.04997501249375312,1,50.0,0,0.0,9.070464767616192,40.929535232383806
Tripura,3357,2,0.05957700327673518,1,50.0,0,0.0,21.239201668156092,28.760798331843908
Rajasthan,22547,2,0.008870359693085554,1,50.0,0,0.0,11.527032421164678,38.47296757883532
Punjab,11807,2,0.01693910392140256,1,50.0,0,0.0,14.186499534174642,35.813500465825356
Kerala,11995,2,0.016673614005835766,1,50.0,0,0.0,16.548561900791995,33.451438099208005
Himachal_Pradesh,5042,3,0.05950019833399445,1,33.333333333333336,0,0.0,17.770725902419674,15.562607430913662
Meghalaya,3636,3,0.08250825082508251,1,33.333333333333336,0,0.0,18.72937293729373,14.603960396039607
Uttar_Pradesh,84736,22,0.02596299093655589,4,18.181818181818183,0,0.0,8.099273036253777,10.082545145564406
West_Bengal,23917,7,0.029267884768156543,1,14.285714285714286,0,0.0,18.52657105824309,-4.240856772528803
Chhattisgarh,4462,7,0.15688032272523533,1,14.285714285714286,0,0.0,8.35948005378754,5.926234231926747
Odisha,13215,115,0.8702232311766932,14,12.173913043478262,8,6.956521739130435,15.724555429436247,-3.5506423859579854
Gujarat,19084,11,0.05763990777614756,1,9.090909090909092,0,0.0,13.561098302242716,-4.470189211333624
Madhya_Pradesh,33696,22,0.06528964862298195,2,9.090909090909092,1,4.545454545454546,11.425688509021843,-2.334779418112751
Karnataka,23719,15,0.06324044015346347,1,6.666666666666667,0,0.0,10.793035119524433,-4.126368452857766
Andhra_Pradesh,27057,211,0.7798351628044499,14,6.6350710900473935,13,6.161137440758294,13.778319843293787,-7.143248753246393
Tamil_Nadu,30728,33,0.10739390783650091,1,3.0303030303030303,1,3.0303030303030303,9.375813590210882,-6.345510559907852
Madras,1586,0,0.0,0,0.0,0,0.0,27.93190416141236,-27.93190416141236
Goa_Daman_&_Diu,937,0,0.0,0,0.0,0,0.0,16.22198505869797,-16.22198505869797
Bihar,54667,5,0.009146285693379918,0,0.0,0,0.0,8.346900323778513,-8.346900323778513
Delhi,7199,0,0.0,0,0.0,0,0.0,9.27906653701903,-9.27906653701903
Goa,2093,0,0.0,0,0.0,0,0.0,15.910176779741997,-15.910176779741997
Telangana,3875,5,0.12903225806451613,0,0.0,0,0.0,6.296774193548387,-6.296774193548387
Sikkim,1475,1,0.06779661016949153,0,0.0,0,0.0,19.728813559322035,-19.728813559322035
Haryana,15039,3,0.01994813484939158,0,0.0,0,0.0,7.872863887226544,-7.872863887226544
Manipur,4157,0,0.0,0,0.0,0,0.0,18.4748616790955,-18.4748616790955
Puducherry,2714,2,0.07369196757553427,0,0.0,0,0.0,15.733235077376566,-15.733235077376566
Jammu_&_Kashmir,5850,0,0.0,0,0.0,0,0.0,14.051282051282051,-14.051282051282051
Nagaland,2726,0,0.0,0,0.0,0,0.0,30.924431401320618,-30.924431401320618
Mysore,2266,0,0.0,0,0.0,0,0.0,28.81729920564872,-28.81729920564872
Mizoram,2133,0,0.0,0,0.0,0,0.0,21.425222691045477,-21.425222691045477
Jharkhand,5636,4,0.07097232079488999,0,0.0,0,0.0,6.050390347764372,-6.050390347764372
Maharashtra,34381,0,0.0,0,0.0,0,0.0,10.950815857595765,-10.950815857595765
