State,LS_Seats_2024,Census2011_Pop,Assembly_Seats,Electors_2024
Andhra Pradesh,25,49577103,175.0,40569103
Arunachal Pradesh,2,1383727,60.0,898442
Assam,14,31205576,126.0,25507074
Bihar,40,104099452,243.0,77419516
Chhattisgarh,11,25545198,90.0,20798657
Goa,2,1458545,40.0,1179644
Gujarat,26,60439692,182.0,49056558
Haryana,10,25351462,90.0,20388111
Himachal Pradesh,4,6864602,68.0,5711969
Jharkhand,14,32988134,81.0,26129704
Karnataka,28,61095297,224.0,51860645
Kerala,20,33406061,140.0,27718447
Madhya Pradesh,29,72626809,230.0,56769780
Maharashtra,48,112374333,288.0,93884493
Manipur,2,2570390,60.0,2051357
Meghalaya,2,2966889,60.0,2230451
Mizoram,1,1097206,40.0,861327
Nagaland,1,1978502,60.0,1325383
Odisha,21,41974219,147.0,33819452
Punjab,13,27743338,117.0,21366557
Rajasthan,25,68548437,200.0,53661578
Sikkim,1,610577,32.0,466643
Tamil Nadu,39,72147030,234.0,62594799
Telangana,17,35003674,119.0,31347026
Tripura,2,3673917,60.0,2870896
Uttar Pradesh,80,199812341,403.0,154344580
Uttarakhand,5,10086292,70.0,7930901
West Bengal,42,91276115,294.0,73688046
Andaman and Nicobar Islands,1,380581,,315745
Chandigarh,1,1055450,,660552
Dadra and Nagar Haveli and Daman and Diu,2,585764,,417236
Jammu and Kashmir,5,12267032,90.0,8802348
Ladakh,1,274000,,190576
Lakshadweep,1,64473,,57953
Delhi,7,16787941,70.0,15715238
Puducherry,1,1247953,30.0,1024024
